Study level 1	Study level 2	Study level 3	Name	Image	LayerData	Overall_Cy5_Entropy	Overall_DAPI_Entropy	Overall_FITC_Entropy	Overall_TRITC_Entropy	Per_Lesion_Cy5_Entropy	Per_Lesion_DAPI_Entropy	Per_Lesion_FITC_Entropy	Per_Lesion_TRITC_Entropy	L01_DAPI	L02_DAPI	L03_DAPI	L04_DAPI	L05_DAPI	L06_DAPI	L07_DAPI	L08_DAPI	L09_DAPI	L10_DAPI	L11_DAPI	L12_DAPI	L13_DAPI	L14_DAPI	cells_total_all_granulomas	cells_total_granuloma - cells_total_granuloma	Cy5_all_granulomas_percent	Cy5_cells_all_granulomas	Cy5_cells_granuloma	Cy5_granuloma_percent - Cy5_granuloma_percent	DAPI_cells_all_granulomas	DAPI_cells_granuloma	FITC_all_granulomas_percent	FITC_cells_all_granulomas	FITC_cells_granuloma	FITC_granuloma_percent - FITC_granuloma_percent	object_info - LabelType	object_info - LabelName	object_info - ROIType	object_info - ROIName	object_info - Envelope	TRITC_all_granulomas_percent	TRITC_cells_all_granulomas	TRITC_cells_granuloma	TRITC_granuloma_percent - TRITC_granuloma_percent	L01_total_host	L01_B220	L01_CD4	L01_CD8	L02_total_host	L02_B220	L02_CD4	L02_CD8	L03_total_host	L03_B220	L03_CD4	L03_CD8	L04_total_host	L04_B220	L04_CD4	L04_CD8	L05_total_host	L05_B220	L05_CD4	L05_CD8	L06_total_host	L06_B220	L06_CD4	L06_CD8	L07_total_host	L07_B220	L07_CD4	L07_CD8	L08_total_host	L08_B220	L08_CD4	L08_CD8	L09_total_host	L09_B220	L09_CD4	L09_CD8	L10_total_host	L10_B220	L10_CD4	L10_CD8	L11_total_host	L11_B220	L11_CD4	L11_CD8	L12_total_host	L12_B220	L12_CD4	L12_CD8	L13_total_host	L13_B220	L13_CD4	L13_CD8	Lobe_total_total_host	Lobe_total_B220	Lobe_total_DAPI	Lobe_total_CD4	Lobe_total_CD8	lesion_count	L14_total_host	L14_B220	L14_CD4	L14_CD8	Cy5_texture_entropy_lesion	Cy5_texture_entropy_lobe	DAPI_texture_entropy_lesion	DAPI_texture_entropy_lobe	FITC_texture_entropy_lesion	FITC_texture_entropy_lobe	TRITC_texture_entropy_lesion	TRITC_texture_entropy_lobe	L01_area	L02_area	L03_area	L04_area	L05_area	L06_area	L07_area	L08_area	L09_area	L10_area	L11_area	L12_area	L13_area	L14_area
Sarah Cooper	Final Opal Data	BCG17	-G D114 17-20_01_Maximum_Z_ROI 002[0001]	\\campusrstor1.onefs.colostate.edu\cvmbs\RSTOR-IMPAc-TB\Pathology\SKC Scans\Base Period - HN878 Erdman Pilot\Opal\9.23.20 CD4 CD8 B220 D114 rescan\BCG D114 17-20_01_Maximum_Z.vsi	\\cvmvisiopharm01\VIS_Migration\d1\e1883\ses744_102763_Result.mld	5.654487906	5.98691811	6.451523949	6.302467396	5.647965716	6.021342209	6.653488472	6.690660676	5164	6719	7485	0	0	0	0	0	0	0	0	0	0	0	34964	7751	14.13739847	4943	346	4.463940137	23774	6313	11.31449491	3956	668	8.618242807	NA	NA	1	L01	(-1.516614 6.268721) -> (-0.664033 5.371622)	6.552453953	2291	424	5.470261902	6608	356	644	463	10526	1589	1471	847	13128	2948	1920	987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30262	4893	19368	4035	2297	3	0	0	0	0	12.14224844	12.14224844	11.61987905	11.99143211	11.93797205	12.15063099	11.99125714	12.1777916	462334.5821	585634.7926	662423.3339	0	0	0	0	0	0	0	0	0	0	0
Sarah Cooper	Final Opal Data	BCG17	-G D114 17-20_01_Maximum_Z_ROI 002[0001]	\\campusrstor1.onefs.colostate.edu\cvmbs\RSTOR-IMPAc-TB\Pathology\SKC Scans\Base Period - HN878 Erdman Pilot\Opal\9.23.20 CD4 CD8 B220 D114 rescan\BCG D114 17-20_01_Maximum_Z.vsi	\\cvmvisiopharm01\VIS_Migration\d1\e1883\ses744_102763_Result.mld	5.654487906	5.98691811	6.451523949	6.302467396	5.844032367	6.098337118	6.44416422	6.153715412	5164	6719	7485	0	0	0	0	0	0	0	0	0	0	0	34964	11704	14.13739847	4943	1604	13.70471634	23774	7760	11.31449491	3956	1483	12.67088175	NA	NA	1	L01	(-1.325646 5.217751) -> (-0.050806 4.230007)	6.552453953	2291	857	7.32228298	6608	356	644	463	10526	1589	1471	847	13128	2948	1920	987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30262	4893	19368	4035	2297	3	0	0	0	0	11.92191825	12.14224844	11.77488697	11.99143211	12.11505119	12.15063099	12.13497959	12.1777916	462334.5821	585634.7926	662423.3339	0	0	0	0	0	0	0	0	0	0	0
Sarah Cooper	Final Opal Data	BCG17	-G D114 17-20_01_Maximum_Z_ROI 002[0001]	\\campusrstor1.onefs.colostate.edu\cvmbs\RSTOR-IMPAc-TB\Pathology\SKC Scans\Base Period - HN878 Erdman Pilot\Opal\9.23.20 CD4 CD8 B220 D114 rescan\BCG D114 17-20_01_Maximum_Z.vsi	\\cvmvisiopharm01\VIS_Migration\d1\e1883\ses744_102763_Result.mld	5.654487906	5.98691811	6.451523949	6.302467396	5.58212488	6.05717817	6.153563913	6.134852316	5164	6719	7485	0	0	0	0	0	0	0	0	0	0	0	34964	15509	14.13739847	4943	2993	19.29847186	23774	9701	11.31449491	3956	1805	11.63840351	NA	NA	1	L01	(-1.467582 4.231297) -> (-0.190807 3.098070)	6.552453953	2291	1010	6.512347669	6608	356	644	463	10526	1589	1471	847	13128	2948	1920	987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30262	4893	19368	4035	2297	3	0	0	0	0	11.89199891	12.14224844	11.95818899	11.99143211	12.15063099	12.15063099	12.1777916	12.1777916	462334.5821	585634.7926	662423.3339	0	0	0	0	0	0	0	0	0	0	0
Sarah Cooper	Final Opal Data	BCG18	-G D114 17-20_01_Maximum_Z_ROI 002[0001]	\\campusrstor1.onefs.colostate.edu\cvmbs\RSTOR-IMPAc-TB\Pathology\SKC Scans\Base Period - HN878 Erdman Pilot\Opal\9.23.20 CD4 CD8 B220 D114 rescan\BCG D114 17-20_01_Maximum_Z.vsi	\\cvmvisiopharm01\VIS_Migration\d1\e1883\ses745_102943_Result.mld	5.276650064	5.859288496	6.472905557	6.407546668	5.826491367	6.007181204	6.50686516	6.376995646	7633	3938	7717	1808	4603	9857	1952	712	0	0	0	0	0	0	54417	11637	13.53621111	7366	2225	19.12004812	39501	8049	7.731039932	4207	808	6.943370284	NA	NA	1	L01	(1.295646 6.167108) -> (2.429841 5.237106)	6.143300807	3343	555	4.769270431	11341	2208	953	555	5009	356	378	355	9551	453	764	636	2817	545	238	251	6222	539	613	470	14384	2678	1051	843	2959	545	286	210	961	45	130	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53238	7369	38215	4412	3404	8	0	0	0	0	11.67957866	13.5188784	11.70635401	12.35620186	12.09032295	13.44943661	12.06187032	13.43546263	648579.386	275313.9177	607542.0285	152368.3387	339572.1461	724032.6482	160516.5385	58166.22538	0	0	0	0	0	0
Sarah Cooper	Final Opal Data	BCG18	-G D114 17-20_01_Maximum_Z_ROI 002[0001]	\\campusrstor1.onefs.colostate.edu\cvmbs\RSTOR-IMPAc-TB\Pathology\SKC Scans\Base Period - HN878 Erdman Pilot\Opal\9.23.20 CD4 CD8 B220 D114 rescan\BCG D114 17-20_01_Maximum_Z.vsi	\\cvmvisiopharm01\VIS_Migration\d1\e1883\ses745_102943_Result.mld	5.276650064	5.859288496	6.472905557	6.407546668	6.146917253	6.180607042	6.599656371	6.650239786	7633	3938	7717	1808	4603	9857	1952	712	0	0	0	0	0	0	54417	4928	13.53621111	7366	344	6.980519481	39501	3884	7.731039932	4207	368	7.467532468	NA	NA	1	L01	(2.246615 5.915817) -> (3.023712 4.950008)	6.143300807	3343	332	6.737012987	11341	2208	953	555	5009	356	378	355	9551	453	764	636	2817	545	238	251	6222	539	613	470	14384	2678	1051	843	2959	545	286	210	961	45	130	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53238	7369	38215	4412	3404	8	0	0	0	0	12.12354131	13.5188784	11.39199427	12.35620186	12.04405812	13.44943661	11.96363291	13.43546263	648579.386	275313.9177	607542.0285	152368.3387	339572.1461	724032.6482	160516.5385	58166.22538	0	0	0	0	0	0
Sarah Cooper	Final Opal Data	BCG18	-G D114 17-20_01_Maximum_Z_ROI 002[0001]	\\campusrstor1.onefs.colostate.edu\cvmbs\RSTOR-IMPAc-TB\Pathology\SKC Scans\Base Period - HN878 Erdman Pilot\Opal\9.23.20 CD4 CD8 B220 D114 rescan\BCG D114 17-20_01_Maximum_Z.vsi	\\cvmvisiopharm01\VIS_Migration\d1\e1883\ses745_102943_Result.mld	5.276650064	5.859288496	6.472905557	6.407546668	5.46625109	5.994922706	6.435906535	6.306409915	7633	3938	7717	1808	4603	9857	1952	712	0	0	0	0	0	0	54417	9819	13.53621111	7366	452	4.603320094	39501	7961	7.731039932	4207	769	7.831754761	NA	NA	1	L01	(0.879517 4.675815) -> (1.635324 3.258393)	6.143300807	3343	637	6.487422344	11341	2208	953	555	5009	356	378	355	9551	453	764	636	2817	545	238	251	6222	539	613	470	14384	2678	1051	843	2959	545	286	210	961	45	130	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53238	7369	38215	4412	3404	8	0	0	0	0	13.5188784	13.5188784	12.39628995	12.35620186	13.29887879	13.44943661	13.34071971	13.43546263	648579.386	275313.9177	607542.0285	152368.3387	339572.1461	724032.6482	160516.5385	58166.22538	0	0	0	0	0	0
Sarah Cooper	Final Opal Data	BCG18	-G D114 17-20_01_Maximum_Z_ROI 002[0001]	\\campusrstor1.onefs.colostate.edu\cvmbs\RSTOR-IMPAc-TB\Pathology\SKC Scans\Base Period - HN878 Erdman Pilot\Opal\9.23.20 CD4 CD8 B220 D114 rescan\BCG D114 17-20_01_Maximum_Z.vsi	\\cvmvisiopharm01\VIS_Migration\d1\e1883\ses745_102943_Result.mld	5.276650064	5.859288496	6.472905557	6.407546668	5.936417778	6.15285542	6.274097057	6.357185937	7633	3938	7717	1808	4603	9857	1952	712	0	0	0	0	0	0	54417	2866	13.53621111	7366	546	19.05094208	39501	1829	7.731039932	4207	238	8.304256804	NA	NA	1	L01	(1.331130 4.614202) -> (1.968550 4.265491)	6.143300807	3343	253	8.827634334	11341	2208	953	555	5009	356	378	355	9551	453	764	636	2817	545	238	251	6222	539	613	470	14384	2678	1051	843	2959	545	286	210	961	45	130	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53238	7369	38215	4412	3404	8	0	0	0	0	10.55147312	13.5188784	10.38097808	12.35620186	10.77851631	13.44943661	10.69785056	13.43546263	648579.386	275313.9177	607542.0285	152368.3387	339572.1461	724032.6482	160516.5385	58166.22538	0	0	0	0	0	0
Sarah Cooper	Final Opal Data	BCG18	-G D114 17-20_01_Maximum_Z_ROI 002[0001]	\\campusrstor1.onefs.colostate.edu\cvmbs\RSTOR-IMPAc-TB\Pathology\SKC Scans\Base Period - HN878 Erdman Pilot\Opal\9.23.20 CD4 CD8 B220 D114 rescan\BCG D114 17-20_01_Maximum_Z.vsi	\\cvmvisiopharm01\VIS_Migration\d1\e1883\ses745_102943_Result.mld	5.276650064	5.859288496	6.472905557	6.407546668	5.820584336	6.046271478	6.316085229	6.129357728	7633	3938	7717	1808	4603	9857	1952	712	0	0	0	0	0	0	54417	6290	13.53621111	7366	541	8.600953895	39501	4665	7.731039932	4207	613	9.745627981	NA	NA	1	L01	(1.446937 4.402588) -> (2.224679 3.436135)	6.143300807	3343	471	7.488076312	11341	2208	953	555	5009	356	378	355	9551	453	764	636	2817	545	238	251	6222	539	613	470	14384	2678	1051	843	2959	545	286	210	961	45	130	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53238	7369	38215	4412	3404	8	0	0	0	0	12.16859545	13.5188784	11.42620904	12.35620186	12.04275712	13.44943661	12.0439468	13.43546263	648579.386	275313.9177	607542.0285	152368.3387	339572.1461	724032.6482	160516.5385	58166.22538	0	0	0	0	0	0
Sarah Cooper	Final Opal Data	BCG18	-G D114 17-20_01_Maximum_Z_ROI 002[0001]	\\campusrstor1.onefs.colostate.edu\cvmbs\RSTOR-IMPAc-TB\Pathology\SKC Scans\Base Period - HN878 Erdman Pilot\Opal\9.23.20 CD4 CD8 B220 D114 rescan\BCG D114 17-20_01_Maximum_Z.vsi	\\cvmvisiopharm01\VIS_Migration\d1\e1883\ses745_102943_Result.mld	5.276650064	5.859288496	6.472905557	6.407546668	5.843198745	6.071724652	6.553499692	6.518863918	7633	3938	7717	1808	4603	9857	1952	712	0	0	0	0	0	0	54417	14598	13.53621111	7366	2678	18.34497876	39501	10027	7.731039932	4207	1051	7.199616386	NA	NA	1	L01	(1.745969 4.074201) -> (2.756938 2.721618)	6.143300807	3343	842	5.767913413	11341	2208	953	555	5009	356	378	355	9551	453	764	636	2817	545	238	251	6222	539	613	470	14384	2678	1051	843	2959	545	286	210	961	45	130	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53238	7369	38215	4412	3404	8	0	0	0	0	13.14060712	13.5188784	12.1651031	12.35620186	13.44943661	13.44943661	13.43546263	13.43546263	648579.386	275313.9177	607542.0285	152368.3387	339572.1461	724032.6482	160516.5385	58166.22538	0	0	0	0	0	0
Sarah Cooper	Final Opal Data	BCG18	-G D114 17-20_01_Maximum_Z_ROI 002[0001]	\\campusrstor1.onefs.colostate.edu\cvmbs\RSTOR-IMPAc-TB\Pathology\SKC Scans\Base Period - HN878 Erdman Pilot\Opal\9.23.20 CD4 CD8 B220 D114 rescan\BCG D114 17-20_01_Maximum_Z.vsi	\\cvmvisiopharm01\VIS_Migration\d1\e1883\ses745_102943_Result.mld	5.276650064	5.859288496	6.472905557	6.407546668	5.866709643	6.284349179	6.501995002	6.427061337	7633	3938	7717	1808	4603	9857	1952	712	0	0	0	0	0	0	54417	3238	13.53621111	7366	545	16.83137739	39501	2197	7.731039932	4207	286	8.832612724	NA	NA	1	L01	(2.700486 4.056458) -> (3.116616 3.319038)	6.143300807	3343	210	6.485484867	11341	2208	953	555	5009	356	378	355	9551	453	764	636	2817	545	238	251	6222	539	613	470	14384	2678	1051	843	2959	545	286	210	961	45	130	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53238	7369	38215	4412	3404	8	0	0	0	0	11.93764518	13.5188784	11.26474469	12.35620186	12.01825143	13.44943661	12.03854183	13.43546263	648579.386	275313.9177	607542.0285	152368.3387	339572.1461	724032.6482	160516.5385	58166.22538	0	0	0	0	0	0
